,Unnamed: 0,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
1311,27,NA1_4167449916,33,34,84,57287,64784,262.6,262.6,48031,1,1,4,0,3,0,0,LOSS
1313,29,NA1_4167404578,43,61,84,152607,168493,175.2,175.2,77618,1,1,3,1,2,1,0,LOSS
1315,31,NA1_4167380033,30,35,73,79023,109846,268.6,268.6,57319,2,1,3,1,2,1,0,LOSS
1317,33,NA1_4167364683,34,48,81,93101,137928,204.6,204.6,60414,2,3,2,0,2,0,0,LOSS
1319,35,NA1_4167289415,58,59,136,157199,179211,100.8,100.8,78822,0,2,3,2,1,0,0,LOSS
1321,37,NA1_4166039052,15,26,25,36602,65424,117.2,117.2,40451,0,0,3,1,2,2,0,LOSS
1323,39,NA1_4166053919,50,52,136,150490,144716,217.4,217.4,69789,1,0,3,3,1,1,0,LOSS
1325,41,NA1_4165926739,34,46,68,98486,118091,185,185,65701,3,2,3,1,1,0,0,LOSS
1327,43,NA1_4165819101,42,39,95,84367,111686,179.4,179.4,70358,0,1,3,1,3,0,0,LOSS
1329,45,NA1_4164794017,39,62,88,125901,140755,213,213,69049,2,1,1,3,1,1,0,LOSS
1331,47,NA1_4164445215,34,53,62,98877,136774,205,205,58185,0,3,1,2,0,2,0,LOSS
1333,49,NA1_4163717253,40,46,75,89956,120657,162,162,63317,2,1,2,2,1,1,0,LOSS
1335,51,NA1_4163731838,34,40,74,83852,98488,288.2,288.2,56385,0,1,2,2,2,1,0,LOSS
1337,53,NA1_4163700856,17,36,33,56250,65484,107.6,107.6,35539,1,2,2,1,2,2,0,LOSS
1339,55,NA1_4163288068,52,66,101,161900,220872,264,264,80042,1,2,3,0,3,1,0,LOSS
1341,57,NA1_4163321995,25,37,59,61676,81047,335.4,335.4,45062,1,1,3,1,2,1,0,LOSS
1343,59,NA1_4163269407,18,35,46,47702,67652,101.4,101.4,42848,0,1,3,2,2,1,0,LOSS
1345,61,NA1_4163236096,57,69,140,143319,215387,186.8,186.8,84553,0,2,2,1,3,1,0,LOSS
1347,63,NA1_4163213969,31,40,63,83282,107478,233.4,233.4,57167,0,3,3,1,1,1,0,LOSS
1349,65,NA1_4163185977,45,73,103,190201,244036,131.2,131.2,84823,1,2,0,2,0,2,0,LOSS
1351,67,NA1_4162509918,31,38,66,81832,96076,174.6,174.6,57152,1,1,2,2,1,1,0,LOSS
1353,69,NA1_4162184177,26,53,49,64275,114543,274,274,52932,0,1,3,3,1,0,0,LOSS
1355,71,NA1_4162156611,44,37,76,79498,83430,242.2,242.2,58711,2,0,2,1,1,0,0,LOSS
1357,73,NA1_4161919316,47,61,102,104949,129810,186.8,186.8,65404,1,0,2,2,1,2,0,LOSS
1359,75,NA1_4161893981,71,86,145,203089,334592,192.4,192.4,100918,3,3,0,1,0,1,0,LOSS
1361,77,NA1_4161891184,21,34,48,50381,74602,164.8,164.8,49534,4,2,3,1,0,0,0,LOSS
1363,79,NA1_4161339000,31,39,66,66984,74489,219.2,219.2,47921,0,0,3,2,1,0,0,LOSS
1365,81,NA1_4161180702,52,54,143,145984,163883,247.4,247.4,73021,1,0,2,3,2,1,0,LOSS
1367,83,NA1_4161005941,28,49,50,62879,100451,186,186,48356,2,2,1,2,0,2,0,LOSS
1369,85,NA1_4159884181,29,50,58,94623,167558,239.4,239.4,59003,1,3,0,1,1,2,0,LOSS
1371,87,NA1_4159506199,33,48,63,109347,117250,247.4,247.4,61993,2,1,3,0,0,1,0,LOSS
1373,89,NA1_4159532313,30,33,83,61488,74132,118.4,118.4,51026,1,2,1,1,3,1,0,LOSS
1375,91,NA1_4159439608,17,36,32,54464,71409,211.4,211.4,48551,1,1,2,2,2,1,0,LOSS
1377,93,NA1_4159316624,26,34,45,46844,74272,185.2,185.2,43084,0,2,1,2,1,2,0,LOSS
1379,95,NA1_4159304014,37,56,72,91010,155349,140.8,140.8,62373,1,1,2,2,2,2,0,LOSS
1381,97,NA1_4158986304,71,86,142,190062,268311,287.8,287.8,99157,2,2,2,2,0,2,0,LOSS
1383,99,NA1_4158327148,31,48,71,71268,129316,236.6,236.6,54488,3,3,0,1,2,1,0,LOSS
1385,101,NA1_4157456046,70,74,139,185645,251448,180.4,180.4,93309,2,3,1,2,0,2,0,LOSS
1387,103,NA1_4156287587,32,52,67,91803,104544,247.2,247.2,57368,2,2,1,2,1,1,0,LOSS
1389,105,NA1_4156292707,22,51,41,65981,89340,141.6,141.6,45710,0,0,1,3,2,2,0,LOSS
1391,107,NA1_4156235695,54,54,125,212445,173722,211.2,211.2,96114,1,1,2,1,1,1,0,LOSS
1393,109,NA1_4156179563,51,62,95,147383,143499,282.2,282.2,81496,0,2,3,1,1,2,0,LOSS
1395,111,NA1_4156156258,36,47,92,116599,135196,243.8,243.8,61618,1,0,4,1,1,1,0,LOSS
1397,113,NA1_4156160894,44,61,83,125428,143309,233.6,233.6,64993,2,1,0,3,1,1,0,LOSS
1399,115,NA1_4156114692,38,51,54,85357,131053,249.2,249.2,64287,2,2,3,1,1,0,0,LOSS
1401,117,NA1_4156030732,44,45,104,141490,123248,224.8,224.8,70930,1,1,2,2,0,2,0,LOSS
1403,119,NA1_4155940045,37,49,88,106254,143850,280.4,280.4,61246,1,1,2,1,2,2,0,LOSS
1405,121,NA1_4155839084,57,44,138,145633,137553,192.2,192.2,77356,1,0,4,1,2,1,0,LOSS
1407,123,NA1_4155855261,37,44,96,97718,141399,320.8,320.8,64267,2,4,1,0,2,1,0,LOSS
1409,125,NA1_4155063235,40,52,94,95513,127443,252.2,252.2,62021,0,2,2,1,1,1,0,LOSS
1411,127,NA1_4155008030,52,53,115,109890,121544,275.2,275.2,75152,0,0,3,3,2,0,0,LOSS
1413,129,NA1_4154937784,29,40,61,86043,93905,298,298,53914,1,2,3,0,1,2,0,LOSS
1415,131,NA1_4154961213,59,68,116,171232,233277,233.6,233.6,85026,2,4,0,0,0,3,0,LOSS
1417,133,NA1_4154916656,36,60,95,156090,180474,288,288,66982,1,1,4,1,1,2,0,LOSS
1419,135,NA1_4154024495,55,52,132,165015,141913,244.6,244.6,75793,0,2,3,0,3,1,0,LOSS
1421,137,NA1_4153633544,19,29,44,67529,74233,211.4,211.4,53303,0,3,2,1,0,2,0,LOSS
1423,139,NA1_4153611825,31,40,56,67595,88773,258.6,258.6,53211,2,2,0,2,0,1,0,LOSS
1425,141,NA1_4153534813,58,70,147,255722,372649,249.6,249.6,104584,0,2,4,0,3,1,0,LOSS
1427,143,NA1_4153521656,33,40,65,74219,96822,236,236,55869,1,1,3,1,1,1,0,LOSS
1429,145,NA1_4153506921,25,41,55,76916,106244,203.4,203.4,57071,2,2,4,1,0,1,0,LOSS
1431,147,NA1_4153484393,40,56,84,141714,136828,239.6,239.6,69401,2,2,3,0,2,1,0,LOSS
1433,149,NA1_4153490408,59,57,137,141206,136387,172.4,172.4,71963,0,1,4,2,0,1,0,LOSS
1435,151,NA1_4153428547,22,31,65,50939,66493,254.8,254.8,41525,4,2,1,1,0,1,0,LOSS
1437,153,NA1_4152876693,49,46,115,139371,131171,181.4,181.4,75887,1,2,3,1,1,1,0,LOSS
1439,155,NA1_4152852480,47,45,112,132393,160378,262.8,262.8,68138,0,1,2,2,2,0,0,LOSS
1441,157,NA1_4152495332,73,55,187,178153,199091,226.8,226.8,87732,2,2,3,0,2,1,0,LOSS
1443,159,NA1_4152502203,32,35,77,96281,100269,162.6,162.6,63352,0,0,4,1,3,1,0,LOSS
1445,161,NA1_4152367983,27,44,58,65725,80764,225.6,225.6,44745,2,2,1,2,1,0,0,LOSS
1447,163,NA1_4152337217,40,48,100,120118,165458,300.4,300.4,67863,1,0,2,1,2,2,0,LOSS
1449,165,NA1_4152016996,27,48,65,80492,117050,302.4,302.4,52566,2,4,0,1,0,2,0,LOSS
1451,167,NA1_4152042657,57,62,81,137755,185754,268.6,268.6,77231,3,2,2,2,0,1,0,LOSS
1453,169,NA1_4152012079,49,50,120,103118,121579,184.2,184.2,67406,0,2,3,0,2,0,0,LOSS
1455,171,NA1_4151987990,31,37,80,67102,81589,210,210,47269,1,0,4,2,2,0,0,LOSS
1457,173,NA1_4151993787,60,67,126,236679,259170,128.2,128.2,95601,2,2,1,1,1,2,0,LOSS
1459,175,NA1_4152001291,34,39,97,62270,80556,299,299,48622,1,3,0,1,2,2,0,LOSS
1461,177,NA1_4151643345,35,46,76,90498,106492,346.6,346.6,59876,2,2,1,3,0,1,0,LOSS
1463,179,NA1_4151384429,43,56,68,93367,122784,188.8,188.8,60546,3,1,2,3,0,0,0,LOSS
1465,181,NA1_4151381776,27,33,64,60769,68909,225,225,55869,1,0,4,1,2,0,0,LOSS
1467,183,NA1_4151337550,33,33,87,87027,93742,169.4,169.4,61388,0,1,2,3,1,1,0,LOSS
1469,185,NA1_4151322856,54,56,110,138275,126194,219.4,219.4,74071,0,1,3,1,2,1,0,LOSS
1471,187,NA1_4151190128,54,46,153,145414,126888,317.6,317.6,83196,1,0,4,2,2,0,0,LOSS
1473,189,NA1_4151118863,58,61,112,130244,139122,173.4,173.4,70698,1,1,2,3,0,1,0,LOSS
1475,191,NA1_4150815890,40,43,110,101593,102936,171.6,171.6,62508,0,1,3,1,2,1,0,LOSS
1477,193,NA1_4150794432,65,59,100,155684,172939,222.6,222.6,84261,2,1,2,3,1,0,0,LOSS
1479,195,NA1_4150197107,56,54,141,158757,176961,233.6,233.6,78976,2,0,2,2,1,1,0,LOSS
1481,1,NA1_4169144182,37,54,77,79284,118758,202.2,202.2,58073,1,0,2,3,2,1,0,LOSS
1483,3,NA1_4169150582,66,63,174,158007,179585,224.6,224.6,84380,0,0,4,1,1,1,0,LOSS
1485,5,NA1_4169078111,17,30,38,29749,47638,284.8,284.8,35166,2,0,3,1,2,0,0,LOSS
1487,7,NA1_4169084780,42,49,87,87672,118153,223.4,223.4,62496,1,1,2,2,1,1,0,LOSS
1489,9,NA1_4168998887,68,70,150,238257,275433,154.2,154.2,96033,1,3,1,1,1,2,0,LOSS
1491,11,NA1_4166765590,27,50,63,74197,106664,167.6,167.6,56042,2,1,3,2,0,1,0,LOSS
1493,13,NA1_4166463042,60,74,137,181524,195248,362.2,362.2,88605,1,1,4,1,1,1,0,LOSS
1495,15,NA1_4166421183,17,29,25,46193,76495,324,324,44705,1,3,1,1,0,2,0,LOSS
1497,17,NA1_4166388473,27,47,64,57069,89085,229.8,229.8,48112,0,3,3,1,1,1,0,LOSS
1499,19,NA1_4166404371,49,51,96,114065,132300,211.8,211.8,67948,2,0,3,2,1,0,0,LOSS
1501,21,NA1_4166401104,23,41,38,54693,80124,275,275,48202,3,1,2,1,1,1,0,LOSS
1503,23,NA1_4166344491,68,61,166,154332,185596,239.6,239.6,78996,0,1,4,2,1,1,0,LOSS
1505,25,NA1_4165999626,38,50,73,89866,132532,259.8,259.8,66033,3,3,1,0,0,2,0,LOSS
1507,27,NA1_4164193236,43,39,97,139929,107692,138.6,138.6,64850,2,2,3,1,0,1,0,LOSS
1509,29,NA1_4164166779,28,48,54,67267,86904,228,228,45631,2,3,2,1,0,0,0,LOSS
1511,31,NA1_4163609329,33,37,69,89492,104319,331.6,331.6,56450,1,3,2,1,0,1,0,LOSS
1513,33,NA1_4163254140,47,51,85,137052,153812,221.8,221.8,77554,1,2,2,1,1,1,0,LOSS
1515,35,NA1_4161936392,37,37,82,92147,107693,151.4,151.4,59693,1,0,3,2,2,0,0,LOSS
1517,37,NA1_4161426895,51,55,84,127562,138498,115.2,115.2,67534,0,1,3,2,0,1,0,LOSS
1519,39,NA1_4161405574,32,41,66,93941,110823,166,166,62718,2,2,1,0,2,1,0,LOSS
1521,41,NA1_4161275945,50,53,106,127718,147913,182,182,74702,1,1,2,2,1,0,0,LOSS
1523,43,NA1_4160715072,40,61,82,140444,209894,302.6,302.6,67238,2,4,2,0,1,1,0,LOSS
1525,45,NA1_4160571660,40,40,112,113224,192354,216.8,216.8,80370,1,2,2,1,1,2,0,LOSS
1527,47,NA1_4160541872,18,34,48,60972,69730,104.8,104.8,47192,2,0,2,3,1,1,0,LOSS
1529,49,NA1_4160235274,24,40,44,50921,75463,145,145,41795,2,3,2,0,1,1,0,LOSS
1531,51,NA1_4160192541,73,93,133,300749,240162,252,252,109019,0,1,3,1,2,1,0,LOSS
1533,53,NA1_4160112868,16,18,25,21664,30779,175.2,175.2,34128,0,0,4,1,2,0,0,LOSS
1535,55,NA1_4160038880,54,71,94,156074,203258,227,227,93910,2,1,2,1,2,0,0,LOSS
1537,57,NA1_4160035101,46,43,113,121590,125227,245,245,67128,1,2,3,1,1,1,0,LOSS
1539,59,NA1_4159454892,32,51,66,102795,138501,155,155,64484,1,0,3,2,3,0,0,LOSS
1541,61,NA1_4159439764,41,61,109,116604,180701,113.4,113.4,71976,0,1,3,1,1,2,0,LOSS
1543,63,NA1_4159377582,16,32,31,45501,66087,227.6,227.6,39184,3,3,1,1,1,1,0,LOSS
1545,65,NA1_4158886317,55,44,124,145705,141716,177.4,177.4,79466,2,0,2,1,1,1,0,LOSS
1547,67,NA1_4158879379,42,62,68,86053,146279,358,358,63657,2,3,2,1,1,0,0,LOSS
1549,69,NA1_4158838611,22,37,45,49510,97829,195.6,195.6,44093,2,4,0,1,0,3,0,LOSS
1551,71,NA1_4158765156,31,43,69,65452,88294,203.8,203.8,48168,3,2,2,1,0,2,0,LOSS
1553,73,NA1_4158541220,47,77,71,109263,177883,238.6,238.6,76632,3,2,0,3,0,0,0,LOSS
1555,75,NA1_4158476654,57,65,103,181619,165493,148.8,148.8,92337,2,0,2,1,1,0,0,LOSS
1557,77,NA1_4158315929,53,51,122,115948,175789,197.8,197.8,71527,1,1,2,1,3,1,0,LOSS
1559,79,NA1_4158321602,50,64,65,135896,145500,264.2,264.2,75811,2,0,1,2,0,0,0,LOSS
1561,81,NA1_4158228361,45,54,89,100299,119897,228.6,228.6,63944,3,2,1,2,1,0,0,LOSS
1563,83,NA1_4158192880,31,43,75,112852,152254,371.8,371.8,68753,1,0,4,1,2,0,0,LOSS
1565,85,NA1_4157236756,33,48,92,108438,115669,189.8,189.8,67144,0,2,2,1,2,1,0,LOSS
1567,87,NA1_4157252369,36,50,76,84823,127503,163,163,61255,1,1,3,1,2,1,0,LOSS
1569,89,NA1_4157142023,17,40,35,44201,85068,307.8,307.8,38794,0,3,0,1,2,3,0,LOSS
1571,91,NA1_4156500640,36,45,71,93867,122337,256.8,256.8,59154,2,2,4,0,1,1,0,LOSS
1573,93,NA1_4155856718,39,45,75,85857,100301,186.8,186.8,54685,1,2,2,2,0,1,0,LOSS
1575,95,NA1_4155766903,51,66,96,156442,150969,206,206,74840,2,0,3,3,2,0,0,LOSS
1577,97,NA1_4155753885,52,46,114,163817,157976,312.8,312.8,79995,0,1,3,2,2,1,0,LOSS
1579,99,NA1_4155056754,52,76,98,124953,197768,201.8,201.8,79256,1,4,0,1,1,2,0,LOSS
1581,101,NA1_4154589660,29,46,54,116167,104931,259,259,59802,3,2,2,0,1,0,0,LOSS
1583,103,NA1_4154202010,53,67,112,148807,173910,236.6,236.6,81066,3,3,1,1,1,0,0,LOSS
1585,105,NA1_4154210153,53,50,108,129442,125485,241.8,241.8,66105,1,1,4,1,1,1,0,LOSS
1587,107,NA1_4154138452,34,50,91,99907,94591,247.2,247.2,55465,0,0,5,0,3,1,0,LOSS
1589,109,NA1_4154146055,18,41,43,70248,88683,161.8,161.8,51016,0,2,2,1,2,1,0,LOSS
1591,111,NA1_4154171651,58,57,113,143302,183431,230.8,230.8,90120,1,0,1,3,1,1,0,LOSS
1593,113,NA1_4154139742,47,62,107,138266,183338,243,243,73170,1,3,1,1,1,2,0,LOSS
1595,115,NA1_4153950024,37,58,107,96966,162278,237,237,60005,1,1,2,0,2,2,0,LOSS
1597,117,NA1_4153846163,55,57,150,159717,190293,110.8,110.8,85054,0,2,3,1,1,1,0,LOSS
1599,119,NA1_4153607878,34,40,92,87781,106005,182.2,182.2,53021,0,2,3,1,1,2,0,LOSS
1601,121,NA1_4153613771,32,40,76,84588,84579,144,144,49130,1,1,1,3,1,2,0,LOSS
1603,123,NA1_4152502203,32,35,77,96281,100269,162.6,162.6,63352,0,0,4,1,3,1,0,LOSS
1605,125,NA1_4151888532,34,37,79,74888,88431,142,142,48119,3,2,1,0,2,1,0,LOSS
1607,127,NA1_4151912747,43,56,105,124263,124433,100,100,68500,1,1,3,2,1,0,0,LOSS
1609,129,NA1_4151859514,17,24,38,36471,50888,223,223,41042,0,2,0,3,1,1,0,LOSS
1611,131,NA1_4151262679,52,54,132,134819,171493,199.4,199.4,75898,1,1,3,0,3,1,0,LOSS
1613,133,NA1_4151166391,47,37,106,135685,117359,186.2,186.2,73087,2,2,2,1,1,0,0,LOSS
1615,1,NA1_4169795169,24,38,50,63244,111630,284.6,284.6,53162,1,1,3,2,0,1,0,LOSS
1617,3,NA1_4169799841,42,42,103,103604,98797,206.4,206.4,64557,0,2,2,2,1,1,0,LOSS
1619,5,NA1_4168545816,71,75,146,207502,203849,247,247,91540,2,1,3,1,2,0,0,LOSS
1621,7,NA1_4168465647,43,54,94,98718,142475,231.2,231.2,64147,2,1,4,1,0,2,0,LOSS
1623,9,NA1_4168470621,38,46,93,164726,136728,109.4,109.4,68099,0,1,4,1,1,1,0,LOSS
1625,11,NA1_4162108808,42,44,114,131487,138814,393.8,393.8,65495,1,1,2,2,1,2,0,LOSS
1627,13,NA1_4162070058,59,75,141,173560,175226,264.6,264.6,80378,0,1,2,3,1,1,0,LOSS
1629,15,NA1_4162004494,28,46,65,83945,80585,190.2,190.2,48522,2,1,3,1,1,0,0,LOSS
1631,17,NA1_4160961267,24,46,57,103041,116898,160.6,160.6,63154,1,2,2,2,0,1,0,LOSS
1633,19,NA1_4160092140,33,36,62,70262,73952,186.2,186.2,51415,1,1,3,1,1,1,0,LOSS
1635,21,NA1_4160066793,18,29,36,52183,50414,247.2,247.2,44935,2,0,3,2,1,0,0,LOSS
1637,23,NA1_4159975742,38,50,84,108501,131059,299.6,299.6,78490,0,1,2,2,1,1,0,LOSS
1639,25,NA1_4159919701,31,55,66,71619,109929,175.8,175.8,49817,1,3,3,0,1,1,0,LOSS
1641,27,NA1_4158846397,27,41,64,74349,84094,265.2,265.2,44268,1,1,3,0,1,1,0,LOSS
1643,29,NA1_4158824462,13,32,38,37162,53291,233.6,233.6,32539,1,0,4,1,3,1,0,LOSS
1645,31,NA1_4155287739,60,68,133,172629,207839,171.6,171.6,91177,1,0,2,3,2,1,0,LOSS
1647,33,NA1_4155177596,77,76,157,195164,226420,188.8,188.8,97818,3,2,2,2,1,0,0,LOSS
1649,35,NA1_4155149166,59,66,132,173924,233627,198.4,198.4,91118,1,2,2,1,2,1,0,LOSS
1651,37,NA1_4154992703,20,39,40,41609,71387,146.6,146.6,37803,0,2,2,2,1,1,0,LOSS
1653,39,NA1_4153888539,27,52,62,66260,100611,203.8,203.8,44902,2,3,3,0,0,2,0,LOSS
1655,41,NA1_4153861191,36,36,85,126931,147197,257,257,74824,1,2,3,0,1,1,0,LOSS
1657,43,NA1_4153656224,34,55,84,90076,100566,194.8,194.8,47889,1,0,3,3,0,1,0,LOSS
1659,45,NA1_4152628180,39,62,66,90410,112560,146,146,54884,2,2,3,0,1,1,0,LOSS
1661,47,NA1_4152643409,28,36,52,51397,78608,144.6,144.6,47107,3,3,1,1,1,1,0,LOSS
1663,49,NA1_4152502203,32,35,77,96281,100269,162.6,162.6,63352,0,0,4,1,3,1,0,LOSS
1665,51,NA1_4152448860,48,48,105,127622,124204,145.4,145.4,75204,1,1,2,3,1,0,0,LOSS
1667,53,NA1_4151713540,59,64,99,150430,146451,263.6,263.6,83178,3,2,0,3,1,0,0,LOSS
1669,55,NA1_4151521350,61,67,106,117910,157485,214.4,214.4,66057,2,1,2,2,0,1,0,LOSS
1671,57,NA1_4151386923,53,58,132,148968,181392,236.6,236.6,77525,1,2,3,0,1,2,0,LOSS
1673,59,NA1_4151329585,32,44,51,72042,86804,233.6,233.6,49998,0,1,2,3,1,0,0,LOSS
1675,61,NA1_4150693815,29,47,74,86774,128246,159.8,159.8,67021,1,2,1,3,1,1,0,LOSS
1677,63,NA1_4150627941,35,54,66,94495,141726,199.2,199.2,63305,2,3,1,1,2,1,0,LOSS
1679,65,NA1_4150641505,39,48,86,122602,152911,119.8,119.8,69684,1,3,2,2,0,2,0,LOSS
1681,67,NA1_4149488627,45,48,125,143934,157887,195.6,195.6,83569,2,2,2,1,2,0,0,LOSS
1683,69,NA1_4149454721,34,45,79,95739,130447,125,125,70110,1,1,3,1,2,0,0,LOSS
1685,71,NA1_4148321384,31,42,73,75470,86911,195,195,49881,1,3,1,1,2,2,0,LOSS
1687,73,NA1_4148257375,36,64,66,92331,142010,185.2,185.2,65594,0,0,5,1,1,0,0,LOSS
1689,75,NA1_4147202554,70,69,156,218693,282889,190,190,108905,0,1,4,1,2,2,0,LOSS
1691,77,NA1_4147187089,30,45,56,72037,90538,153,153,57303,2,1,1,3,0,0,0,LOSS
1693,79,NA1_4147154579,8,17,9,26311,35670,164.8,164.8,34024,1,3,2,2,0,1,0,LOSS
1695,81,NA1_4147038296,46,52,90,102041,120344,236,236,68186,3,1,1,3,0,0,0,LOSS
1697,83,NA1_4147051948,48,67,72,113755,179214,195.8,195.8,78877,4,3,1,2,0,0,0,LOSS
1699,85,NA1_4146059965,81,66,173,212069,163061,243.2,243.2,93424,1,0,2,3,0,0,0,LOSS
1701,87,NA1_4145983099,53,38,138,150296,158439,178.8,178.8,86580,0,1,4,1,2,1,0,LOSS
1703,89,NA1_4145879415,41,42,86,112158,114069,183.4,183.4,61232,0,1,2,1,2,2,0,LOSS
1705,91,NA1_4145761106,35,47,71,84367,126922,197.4,197.4,58050,1,2,2,1,0,2,0,LOSS
1707,93,NA1_4145594753,46,58,81,85730,117953,221.8,221.8,63043,2,2,2,2,0,1,0,LOSS
1709,95,NA1_4145569654,35,51,60,116757,112427,167,167,62817,3,2,1,1,0,0,0,LOSS
1711,97,NA1_4144855728,46,42,122,122312,110455,211.2,211.2,70783,0,1,3,2,2,1,0,LOSS
1713,99,NA1_4144830766,53,53,99,128926,134501,124.6,124.6,74922,4,1,3,2,0,0,0,LOSS
1715,101,NA1_4144756741,38,47,89,148493,125436,223,223,73876,2,0,3,0,3,1,0,LOSS
1717,103,NA1_4143744794,16,36,34,59039,77058,223.4,223.4,48785,0,1,2,2,2,1,0,LOSS
1719,105,NA1_4143725908,33,42,92,68087,78482,213.4,213.4,52373,1,1,2,2,2,0,0,LOSS
1721,107,NA1_4143702035,23,30,46,56914,73327,353,353,51103,0,0,2,2,2,1,0,LOSS
1723,109,NA1_4143515961,33,38,75,87169,107977,262,262,60451,0,2,3,2,2,1,0,LOSS
1725,111,NA1_4143521781,19,51,32,52020,78134,204.8,204.8,45164,1,0,3,2,2,0,0,LOSS
1727,113,NA1_4143336258,25,42,57,62066,94878,151.2,151.2,48513,2,3,2,0,2,1,0,LOSS
1729,115,NA1_4142506016,83,62,184,243866,202796,312.2,312.2,99426,0,1,4,0,3,1,0,LOSS
1731,117,NA1_4142521113,44,42,132,124838,158586,184,184,70436,1,1,2,1,1,1,0,LOSS
1733,119,NA1_4142479123,4,23,12,16257,33524,197.4,197.4,25771,0,1,3,1,1,1,0,LOSS
1735,121,NA1_4141436918,40,54,74,92317,105882,224,224,58766,1,2,2,3,0,1,0,LOSS
1737,123,NA1_4141423336,34,50,80,95137,108348,166.2,166.2,54857,1,2,3,0,0,1,0,LOSS
1739,125,NA1_4141408570,59,39,123,126094,93099,246,246,67748,0,0,4,3,1,0,0,LOSS
1741,127,NA1_4140151096,23,41,45,51874,83048,303.8,303.8,45843,2,1,2,2,0,1,0,LOSS
1743,129,NA1_4138924454,23,40,70,91225,118514,171.6,171.6,57879,0,1,3,1,3,1,0,LOSS
1745,131,NA1_4138889059,39,43,89,116291,117008,166,166,64592,1,1,4,0,1,1,0,LOSS
1747,133,NA1_4138894083,41,53,68,82122,102428,202.2,202.2,59081,2,2,1,2,0,1,0,LOSS
1749,135,NA1_4137752357,36,42,76,74138,109338,281.6,281.6,55155,1,2,1,1,1,1,0,LOSS
1751,137,NA1_4137669588,25,39,43,80530,78301,211.2,211.2,53089,2,0,3,2,1,0,0,LOSS
1753,139,NA1_4137636482,40,55,90,103011,113012,236,236,60586,1,1,4,0,3,0,0,LOSS
1755,141,NA1_4137629703,56,48,133,157486,136203,163.8,163.8,73852,2,2,2,1,2,0,0,LOSS
1757,143,NA1_4136579222,51,61,143,159977,218392,146.8,146.8,80953,2,2,3,0,1,2,0,LOSS
1759,145,NA1_4136580226,34,35,77,75011,79324,175.2,175.2,52703,1,1,1,3,0,0,0,LOSS
1761,147,NA1_4136514531,24,33,40,55227,79810,239,239,44674,2,3,2,0,1,2,0,LOSS
1763,149,NA1_4136511061,24,32,44,61818,65624,188.6,188.6,45026,2,1,2,3,1,0,0,LOSS
1765,151,NA1_4136130657,30,55,58,63890,139156,354.6,354.6,53577,1,3,2,0,3,1,0,LOSS
1767,153,NA1_4136072943,46,63,90,172633,166153,191.6,191.6,86080,2,1,2,2,0,1,0,LOSS
1769,155,NA1_4135354838,38,47,75,89237,109778,166.6,166.6,59324,1,2,1,2,2,0,0,LOSS
1771,157,NA1_4135257431,20,28,54,61670,82576,298.4,298.4,50154,1,0,3,1,2,1,0,LOSS
1773,159,NA1_4135222121,37,45,89,87697,104922,220,220,60081,3,1,1,3,1,0,0,LOSS
1775,161,NA1_4135047395,49,49,89,113824,120444,258,258,65198,0,2,2,2,1,2,0,LOSS
1777,163,NA1_4135060322,39,39,109,96205,119721,295.8,295.8,60739,1,2,1,1,2,2,0,LOSS
1779,165,NA1_4133983562,44,54,102,149544,155863,167.4,167.4,84024,1,1,3,3,0,1,0,LOSS
1781,167,NA1_4133967082,65,55,148,223828,165663,175,175,87246,3,2,1,2,1,0,0,LOSS
1783,169,NA1_4133940097,44,65,93,128587,185596,216.8,216.8,84393,0,1,3,1,2,1,0,LOSS
1785,171,NA1_4133894165,63,49,165,209138,151403,139.6,139.6,80996,1,2,1,3,0,1,0,LOSS
1787,173,NA1_4133779086,34,51,91,88219,97650,200.6,200.6,54583,2,2,2,1,0,2,0,LOSS
1789,175,NA1_4133006103,24,35,56,60331,81280,175,175,48586,2,3,1,1,2,1,0,LOSS
1791,177,NA1_4132899615,70,84,148,245832,278078,229.2,229.2,106716,1,2,3,1,1,1,0,LOSS
1793,179,NA1_4132934658,48,55,83,104960,142111,197.2,197.2,67377,2,1,1,3,0,1,0,LOSS
1795,181,NA1_4131689755,38,48,79,79965,111340,157.2,157.2,60989,1,2,2,1,2,1,0,LOSS
1797,183,NA1_4131582363,56,54,122,144330,129458,197.2,197.2,76206,2,1,3,2,1,0,0,LOSS
1799,185,NA1_4131561530,13,32,26,29724,46696,188.2,188.2,33192,2,2,2,1,2,0,0,LOSS
1801,187,NA1_4131516876,27,51,60,73449,90437,102,102,50214,1,1,3,1,1,0,0,LOSS
1803,189,NA1_4131419240,37,47,93,116197,113499,249.6,249.6,66696,0,1,2,1,1,1,0,LOSS
1805,191,NA1_4130651856,23,40,53,71872,84215,139,139,45745,1,2,2,2,0,2,0,LOSS
1807,193,NA1_4130595355,43,39,114,132687,117159,188.6,188.6,72772,3,0,4,1,1,0,0,LOSS
1809,195,NA1_4130572860,18,38,33,44648,78191,144.8,144.8,43663,2,2,2,2,0,1,0,LOSS
1811,197,NA1_4130525414,61,75,99,146746,296262,203,203,91132,2,4,0,0,0,3,0,LOSS
1813,1,NA1_4171327522,16,41,31,34222,63588,171,171,37270,1,0,4,2,2,1,0,LOSS
