,Unnamed: 0,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
3267,57,NA1_4164439375,20,40,52,71036,82679,217,217,49627,0,1,2,1,3,1,0,LOSS
3269,59,NA1_4164434578,50,55,82,133900,125604,272.4,272.4,73128,1,0,5,0,4,0,0,LOSS
3271,61,NA1_4164413143,37,52,72,104536,126848,240.2,240.2,61823,4,4,0,1,1,0,0,LOSS
3273,63,NA1_4164382539,14,38,33,51633,59079,253.4,253.4,41968,1,1,2,2,2,0,0,LOSS
3275,65,NA1_4164052164,31,42,46,84698,111217,365.4,365.4,56232,3,1,1,2,0,1,0,LOSS
3277,67,NA1_4163592451,38,45,83,122298,118513,295.4,295.4,68143,2,3,2,1,0,0,0,LOSS
3279,69,NA1_4163538424,33,38,82,69958,80246,352.8,352.8,51936,4,1,2,1,1,0,0,LOSS
3281,71,NA1_4163533082,50,50,112,132067,181701,352.8,352.8,72306,1,2,3,0,3,1,0,LOSS
3283,73,NA1_4163519933,22,28,63,66181,76766,354.8,354.8,45129,2,3,1,1,1,2,0,LOSS
3285,75,NA1_4163473873,55,57,96,145492,158303,334.2,334.2,76578,0,2,3,1,1,2,0,LOSS
3287,77,NA1_4163237526,40,37,101,107452,130168,248.2,248.2,63936,0,1,2,1,3,1,0,LOSS
3289,79,NA1_4163213739,48,50,123,186234,190081,164.4,164.4,81844,0,1,4,0,2,2,0,LOSS
3291,81,NA1_4163205791,35,58,41,102899,120707,271.6,271.6,65084,2,2,2,1,1,2,0,LOSS
3293,83,NA1_4162392720,54,50,148,210966,163062,314,314,79119,2,2,3,0,2,0,0,LOSS
3295,85,NA1_4162318027,25,42,35,80043,112654,265.2,265.2,55550,3,3,1,1,1,1,0,LOSS
3297,87,NA1_4162322890,16,27,51,38379,50363,257.2,257.2,38499,1,1,2,2,3,0,0,LOSS
3299,89,NA1_4162208776,52,71,105,138625,201849,310.4,310.4,78112,3,1,3,1,0,1,0,LOSS
3301,91,NA1_4162222979,29,35,65,65492,77308,217.8,217.8,47563,2,2,1,2,1,1,0,LOSS
3303,93,NA1_4162136734,64,61,134,212643,230379,254.8,254.8,85720,1,3,2,0,1,2,0,LOSS
3305,95,NA1_4162095861,21,34,50,41152,78167,445.2,445.2,39935,1,3,2,0,0,4,0,LOSS
3307,97,NA1_4161842739,19,42,43,61416,82531,340.6,340.6,46259,3,1,3,0,2,0,0,LOSS
3309,99,NA1_4161767858,68,56,164,224304,174037,234,234,90479,1,2,3,1,0,1,0,LOSS
3311,101,NA1_4158636141,48,36,136,108448,123226,342,342,64969,0,0,4,1,3,0,0,LOSS
3313,103,NA1_4158650197,41,43,131,130093,136346,227,227,65353,0,2,3,1,2,2,0,LOSS
3315,105,NA1_4158595080,31,49,71,109704,127194,282.6,282.6,56902,0,3,1,1,1,3,0,LOSS
3317,107,NA1_4158570095,45,52,117,121085,176518,351.2,351.2,74426,1,2,2,2,1,1,0,LOSS
3319,109,NA1_4157595055,43,51,113,98959,129646,350.6,350.6,61306,0,3,2,1,0,2,0,LOSS
3321,111,NA1_4157518561,61,72,127,173033,178197,350.6,350.6,85530,2,1,2,2,2,1,0,LOSS
3323,113,NA1_4157514191,35,48,79,97461,122462,434.4,434.4,57954,2,3,2,0,1,1,0,LOSS
3325,115,NA1_4157447518,51,57,130,227399,201132,350.6,350.6,88851,1,2,3,1,1,1,0,LOSS
3327,117,NA1_4156204995,36,57,81,111544,118784,304.4,304.4,59427,2,3,3,1,0,1,0,LOSS
3329,119,NA1_4156159454,47,44,122,161280,145727,350.4,350.4,70755,1,3,2,1,1,2,0,LOSS
3331,121,NA1_4156154513,51,68,123,110682,171879,350.2,350.2,69117,0,2,2,2,1,2,0,LOSS
3333,123,NA1_4153788948,37,52,84,166571,142030,261.6,261.6,66605,0,1,4,0,3,1,0,LOSS
3335,125,NA1_4153783038,45,71,75,152254,212238,365.4,365.4,81082,1,4,2,0,1,2,0,LOSS
3337,127,NA1_4153769910,26,43,70,60576,83539,248.2,248.2,47580,2,1,2,1,2,0,0,LOSS
3339,129,NA1_4153716333,32,42,57,64921,71873,320.2,320.2,49045,3,1,2,1,1,0,0,LOSS
3341,131,NA1_4153722796,22,38,40,45720,73061,361.2,361.2,38866,3,1,3,1,0,0,0,LOSS
3343,133,NA1_4153677449,38,42,103,110087,133845,229,229,63685,1,1,2,2,2,1,0,LOSS
3345,135,NA1_4153653811,25,36,53,110434,113919,246.4,246.4,57796,1,0,4,2,1,1,0,LOSS
3347,137,NA1_4153629198,24,33,45,49629,63942,361.2,361.2,44776,1,0,3,1,2,1,0,LOSS
3349,139,NA1_4151595042,63,68,141,210472,289240,418.6,418.6,108206,1,3,1,1,2,2,0,LOSS
3351,141,NA1_4151581107,52,58,147,216159,156551,229.6,229.6,76360,2,1,2,2,0,2,0,LOSS
3353,143,NA1_4151506273,24,41,55,61447,96203,289.4,289.4,50887,0,1,3,1,1,1,0,LOSS
3355,145,NA1_4151473974,46,70,110,126822,193789,289.2,289.2,78370,3,2,1,1,2,1,0,LOSS
3357,147,NA1_4151480645,34,47,76,72624,101248,227,227,43352,1,2,2,1,1,2,0,LOSS
3359,149,NA1_4147075713,36,50,87,133610,184134,307.6,307.6,72037,1,2,2,0,1,2,0,LOSS
3361,151,NA1_4147049051,45,45,128,111960,157459,302.2,302.2,67843,1,1,1,3,1,2,0,LOSS
3363,153,NA1_4147033913,29,46,64,96244,128594,294.8,294.8,65157,1,1,3,2,0,1,0,LOSS
3365,155,NA1_4145827007,52,64,99,136033,198760,274.2,274.2,73899,2,1,4,0,0,1,0,LOSS
3367,157,NA1_4145811520,56,56,119,153017,177194,274.2,274.2,77340,0,2,3,0,2,1,0,LOSS
3369,159,NA1_4145766081,36,35,82,104639,132084,274,274,65549,2,3,1,1,1,1,0,LOSS
3371,161,NA1_4145761758,32,40,95,94315,102476,268.8,268.8,56329,2,3,2,1,0,0,0,LOSS
3373,163,NA1_4143656612,28,47,58,94913,113919,323.8,323.8,58560,1,1,2,3,0,1,0,LOSS
3375,165,NA1_4143613265,36,47,95,115861,106660,286.4,286.4,61605,0,2,3,1,0,1,0,LOSS
3377,167,NA1_4143576650,38,46,92,130173,141375,271.2,271.2,72550,3,2,1,3,0,0,0,LOSS
3379,169,NA1_4143582243,45,53,111,113365,137107,202,202,67607,0,2,4,1,1,1,0,LOSS
3381,171,NA1_4143198198,32,43,50,97328,142959,255.2,255.2,70189,3,3,1,0,1,0,0,LOSS
3383,173,NA1_4141296152,44,49,118,165935,161001,262.6,262.6,77304,2,3,2,1,1,1,0,LOSS
3385,175,NA1_4141299741,64,65,99,215088,208837,301,301,85666,0,1,4,2,1,1,0,LOSS
3387,177,NA1_4141234664,44,35,118,99633,82722,321,321,59377,2,1,3,1,1,1,0,LOSS
3389,179,NA1_4141280073,26,36,66,66363,82924,212.8,212.8,50501,1,2,1,2,1,1,0,LOSS
3391,181,NA1_4139957515,43,47,137,146044,204977,287.4,287.4,73747,0,3,0,1,1,4,0,LOSS
3393,183,NA1_4139941502,47,56,99,198286,137864,307.6,307.6,79566,1,0,3,3,1,0,0,LOSS
3395,185,NA1_4139926224,42,51,97,143956,137221,297.4,297.4,66360,2,0,2,1,2,0,0,LOSS
3397,187,NA1_4139881807,43,52,110,115179,149853,343.2,343.2,64770,1,1,2,2,1,2,0,LOSS
3399,189,NA1_4138940950,22,38,55,64007,91913,228,228,51148,3,2,1,0,1,2,0,LOSS
3401,191,NA1_4138906175,24,46,51,93258,88502,332.8,332.8,55451,1,1,3,2,1,1,0,LOSS
3403,193,NA1_4138902450,22,33,52,47256,82667,272.2,272.2,43773,0,4,2,0,2,1,0,LOSS
3405,195,NA1_4138829047,33,42,70,74573,93940,219.2,219.2,51586,1,3,1,1,2,2,0,LOSS
3407,197,NA1_4138843809,27,32,51,71766,81415,299.8,299.8,58015,1,2,4,1,1,0,0,LOSS
3409,1,NA1_4171006479,44,50,94,100044,109048,242,242,54357,2,3,1,2,0,0,0,LOSS
