,Unnamed: 0,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
200,4,NA1_4166410915,26,22,71,40388,45904,260.6,260.6,36345,0,2,3,1,3,1,1,WIN
202,6,NA1_4165107733,86,59,188,184298,171218,287,287,82237,1,3,2,0,1,1,1,WIN
204,8,NA1_4164498027,62,40,138,139395,104073,271.2,271.2,61359,2,3,1,2,0,1,1,WIN
206,10,NA1_4163581567,64,59,145,131666,213162,217.2,217.2,82333,2,3,1,2,0,2,1,WIN
208,12,NA1_4162741558,65,52,146,136380,123312,195.4,195.4,73375,1,0,3,2,4,0,1,WIN
210,14,NA1_4161207302,57,36,155,88140,82885,257.6,257.6,58129,0,1,2,3,1,0,1,WIN
212,16,NA1_4161209736,86,92,170,236724,261949,263.2,263.2,99770,3,2,2,1,0,1,1,WIN
214,0,NA1_4168554716,55,52,122,129733,129240,166.4,166.4,74221,2,4,2,0,1,1,1,WIN
216,2,NA1_4168284798,42,36,73,80672,75823,495,495,57360,3,4,1,0,0,1,1,WIN
218,4,NA1_4168261804,50,33,134,103972,98190,198.2,198.2,61451,2,1,3,2,2,0,1,WIN
220,6,NA1_4167707851,38,36,77,102667,108670,222.8,222.8,69358,1,3,3,1,0,1,1,WIN
222,8,NA1_4167726479,33,17,73,55265,38879,257.2,257.2,44438,0,0,3,3,0,0,1,WIN
224,10,NA1_4167017198,48,50,83,123760,130680,308.2,308.2,72846,2,3,0,1,0,2,1,WIN
226,12,NA1_4166630584,44,31,119,97517,93027,290.2,290.2,56771,0,2,2,1,1,1,1,WIN
228,14,NA1_4165992259,64,68,101,131485,193574,358,358,79857,1,3,2,0,1,2,1,WIN
230,16,NA1_4165879774,46,36,119,104806,117612,202,202,59883,2,3,1,1,0,1,1,WIN
232,18,NA1_4165357779,63,44,156,153516,180599,321.6,321.6,77723,0,4,2,0,1,3,1,WIN
234,20,NA1_4164746582,50,43,108,119337,116117,383.2,383.2,67217,1,2,2,2,2,1,1,WIN
236,22,NA1_4163536678,55,59,123,164598,197387,316,316,80190,1,4,2,0,1,2,1,WIN
238,24,NA1_4162948166,71,39,192,263367,168914,306.6,306.6,92859,2,0,2,1,2,0,1,WIN
240,26,NA1_4161205244,47,26,133,98457,111480,294.8,294.8,64061,0,2,3,0,4,1,1,WIN
242,28,NA1_4160497881,53,40,124,116987,116090,313.4,313.4,68063,0,3,2,2,0,1,1,WIN
244,30,NA1_4160476862,40,27,79,84141,61622,302.8,302.8,51947,2,1,4,0,1,0,1,WIN
246,32,NA1_4160493988,50,32,120,97058,74877,215.2,215.2,60458,2,0,2,3,1,0,1,WIN
248,34,NA1_4160251375,76,59,202,300089,246039,321.4,321.4,100863,2,2,4,0,1,0,1,WIN
