,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Time CC'ed,Total Gold Earned,First Blood Turret,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?
64,3633649477W,66,60,183,421785,154538,174,72713,1,2,3,2,0,0,1,WIN
65,3633649477L,58,66,157,420022,211689,289,71032,0,1,3,2,0,0,3,LOSS
66,3633649477W,48,44,121,382713,116077,113,67427,1,1,2,2,2,0,2,WIN
67,3633649477L,44,48,109,282680,127387,130,66866,0,2,2,1,1,1,2,LOSS
68,3633649477W,26,3,80,99011,18710,128,31093,1,0,1,3,1,2,2,WIN
69,3633649477L,3,26,5,39814,32911,21,23209,0,1,3,2,1,1,1,LOSS
70,3633649477W,48,67,106,573086,216452,199,80003,0,0,3,2,0,1,2,WIN
71,3633649477L,67,48,206,440629,164354,420,81395,1,1,1,4,0,3,0,LOSS
72,3633649477W,28,15,58,104015,32656,52,35971,0,1,0,3,1,2,1,WIN
73,3633649477L,15,28,26,79450,39662,34,28670,0,1,0,3,3,1,1,LOSS
74,3633649477W,37,23,102,131026,47385,68,40161,0,1,2,1,2,1,1,WIN
75,3633649477L,23,37,51,96023,62741,60,33481,0,2,2,3,0,2,0,LOSS
76,3633649477W,50,44,148,341216,145767,215,67644,0,1,2,2,0,1,1,WIN
77,3633649477L,43,50,90,352749,159365,200,64675,1,1,3,1,1,0,2,LOSS
78,3633649477W,50,34,124,386457,122126,203,70996,0,2,1,3,0,1,0,WIN
79,3633649477L,34,50,85,427724,160265,188,67662,1,0,2,2,1,2,1,LOSS
80,3633649477W,51,39,105,273448,86538,247,58743,1,2,1,2,2,2,0,WIN
81,3633649477L,39,51,66,166971,120558,150,51839,0,2,2,2,1,0,2,LOSS
82,3633649477W,55,41,137,329066,113851,107,68159,1,1,1,2,3,0,1,WIN
83,3633649477L,41,55,70,316450,137878,63,62451,0,2,1,2,2,1,0,LOSS
84,3633649477W,49,35,116,387031,117547,146,67200,1,1,1,3,2,2,1,WIN
85,3633649477L,35,49,77,278017,163644,148,61789,0,0,2,3,0,2,2,LOSS
86,3633649477W,63,56,180,582670,156966,248,85331,0,2,2,2,2,0,0,WIN
87,3633649477L,56,63,135,532925,239140,207,85436,0,1,2,3,0,2,1,LOSS
88,3633649477W,57,53,147,403762,166153,126,78349,0,2,3,1,1,2,1,WIN
89,3633649477L,52,57,109,426822,140927,127,76230,1,2,0,4,1,1,0,LOSS
90,3633649477W,29,37,70,320735,124523,113,61065,0,0,3,1,1,1,3,WIN
91,3633649477L,37,29,104,323999,90808,82,59535,1,0,2,2,1,2,1,LOSS
92,3633649477W,30,15,70,121497,42801,108,40171,1,0,1,1,2,3,2,WIN
93,3633649477L,15,30,42,102977,46821,58,34437,0,1,2,0,2,2,2,LOSS
94,3633649477W,61,58,142,542414,174335,223,87152,0,2,0,3,2,0,0,WIN
95,3633649477L,58,61,108,546668,232202,245,85803,0,2,2,2,1,2,1,LOSS
96,3633649477W,50,31,121,225291,105059,85,59056,0,1,3,1,0,2,3,WIN
97,3633649477L,31,50,77,247230,99361,134,52138,1,2,2,3,1,1,0,LOSS
98,3633649477W,50,34,117,274368,115557,130,61485,1,2,1,1,2,1,2,WIN
99,3633649477L,34,51,84,307629,118665,93,54078,0,1,3,1,1,0,1,LOSS
100,3633649477W,38,40,124,228993,129514,234,59527,1,1,2,3,0,3,1,WIN
101,3633649477L,40,38,96,280415,103269,118,56422,0,2,1,1,2,1,0,LOSS
102,3633649477W,34,20,73,241711,58048,72,54647,1,1,1,2,2,1,1,WIN
103,3633649477L,20,34,41,167764,81572,41,48333,0,3,1,1,3,1,0,LOSS
104,3633649477W,21,14,52,135177,44188,50,40623,1,0,3,3,1,1,2,WIN
105,3633649477L,14,21,30,98185,48022,36,34712,0,3,2,2,1,1,0,LOSS
106,3633649477W,56,51,121,403281,156924,75,72414,1,2,2,3,1,1,1,WIN
107,3633649477L,51,56,141,419927,172795,156,70651,0,0,0,4,2,2,0,LOSS
108,3633649477W,37,17,88,171857,49638,106,44616,0,0,1,3,3,0,1,WIN
109,3633649477L,17,37,36,119875,74235,79,37993,0,3,5,0,0,0,2,LOSS
110,3633649477W,51,37,117,306514,90856,180,62367,1,2,1,2,2,1,0,WIN
111,3633649477L,36,51,83,278603,144600,151,57939,0,1,2,2,2,0,1,LOSS
112,3633649477W,53,41,132,351288,132049,188,66463,1,1,1,3,2,2,1,WIN
113,3633649477L,41,53,97,349932,162609,146,63095,0,3,2,2,1,1,1,LOSS
114,3633649477W,45,32,100,219935,100483,179,55856,1,1,2,2,1,2,1,WIN
115,3633649477L,32,45,62,256819,95053,62,50744,0,1,1,2,4,1,0,LOSS
116,3633649477W,41,31,111,185664,87967,126,48418,1,1,2,2,1,1,2,WIN
117,3633649477L,31,41,77,177962,87909,113,43711,0,3,3,2,0,0,1,LOSS
118,3633649477W,54,45,125,339615,122252,116,66212,0,1,3,3,0,0,1,WIN
119,3633649477L,45,54,101,289023,139091,93,61403,1,0,2,3,2,1,0,LOSS
120,3633649477W,54,36,129,314866,106882,161,65377,1,0,0,2,2,1,1,WIN
121,3633649477L,36,54,66,269816,127178,58,57253,0,1,3,3,2,0,1,LOSS
122,3633649477W,35,25,104,210035,79195,105,51866,1,1,3,0,2,0,2,WIN
123,3633649477L,25,35,77,177603,93072,147,46282,0,1,2,2,0,0,3,LOSS
124,3633649477W,37,29,94,204419,66546,138,52907,1,1,1,1,1,3,2,WIN
125,3633649477L,28,37,86,153105,89253,54,46713,0,2,2,2,1,2,0,LOSS
126,3633649477W,23,16,77,183187,44516,75,47103,1,1,0,3,1,2,1,WIN
127,3633649477L,16,23,47,136087,64440,75,41254,0,0,4,1,0,1,4,LOSS
128,3633649477W,65,45,158,402660,141366,167,79934,1,1,2,1,2,2,1,WIN
129,3633649477L,45,65,108,475344,152549,121,73700,0,3,2,0,3,0,0,LOSS
130,3633649477W,42,25,112,240312,77511,144,58012,0,1,1,3,1,4,0,WIN
131,3633649477L,25,42,71,201140,89699,154,50523,1,2,1,1,2,2,2,LOSS
132,3633649477W,50,41,98,232981,94179,114,57774,1,3,3,1,1,0,0,WIN
133,3633649477L,41,50,98,207848,107040,118,57304,0,3,1,1,1,2,1,LOSS
134,3633649477W,39,25,75,154154,71790,103,46090,1,0,1,4,1,0,3,WIN
135,3633649477L,25,39,52,144061,69796,75,40259,0,1,2,1,2,1,1,LOSS
136,3633649477W,52,37,118,262958,91463,86,58777,1,0,3,1,2,0,2,WIN
137,3633649477L,36,52,96,236480,115892,92,52453,0,0,3,2,1,1,2,LOSS
138,3633649477W,65,43,127,412196,145270,64,76935,1,2,1,2,1,2,0,WIN
139,3633649477L,43,65,79,413194,145919,101,71524,0,4,2,2,1,0,0,LOSS
140,3633649477W,47,49,102,357664,152345,145,72155,1,1,2,3,0,1,1,WIN
141,3633649477L,49,47,114,421014,125051,272,70859,0,1,0,4,0,2,0,LOSS
142,3633649477W,72,46,166,376956,149159,252,75187,1,0,1,3,1,2,1,WIN
143,3633649477L,46,72,100,394845,191317,133,68998,0,1,2,1,1,1,2,LOSS
144,3633649477W,39,25,87,192218,60333,63,48037,1,0,1,2,3,0,1,WIN
145,3633649477L,25,39,47,173030,83303,28,42848,0,2,3,0,2,0,2,LOSS
146,3633649477W,47,29,112,158659,56254,216,46666,0,0,1,4,1,3,1,WIN
147,3633649477L,29,47,55,126038,80508,58,41237,0,2,3,0,2,0,1,LOSS
148,3633649477W,46,33,130,202632,90314,124,54989,1,1,3,1,1,2,1,WIN
149,3633649477L,33,46,89,252305,102216,73,50537,0,1,1,3,2,1,1,LOSS
150,3633649477W,55,35,142,363427,165224,185,72819,1,0,1,3,2,1,2,WIN
151,3633649477L,35,55,83,379956,151416,96,66357,0,2,1,3,1,0,0,LOSS
152,3633649477W,47,37,126,195230,87773,131,51680,1,1,2,2,2,1,1,WIN
153,3633649477L,37,47,66,193841,95090,113,47772,0,2,2,1,2,1,1,LOSS
154,3633649477W,35,23,97,176820,51166,111,45023,1,0,2,4,2,0,1,WIN
155,3633649477L,23,35,46,113775,75224,119,38715,0,0,3,1,1,1,3,LOSS
156,3633649477W,73,57,141,516159,180202,109,83986,1,2,1,2,2,1,0,WIN
157,3633649477L,57,73,112,517243,167940,94,82643,0,1,1,2,3,0,0,LOSS
158,3633649477W,43,24,110,176872,58234,104,47936,1,2,2,1,2,0,1,WIN
159,3633649477L,24,43,67,151955,89967,98,41048,0,1,4,1,1,1,2,LOSS
160,3633649477W,42,34,128,255514,123337,114,61288,1,1,3,2,1,2,1,WIN
161,3633649477L,34,43,89,321165,109618,244,57607,0,1,3,1,1,2,2,LOSS
162,3633649477W,64,48,156,337831,112401,176,69710,1,3,1,1,1,1,1,WIN
163,3633649477L,48,64,105,279890,152817,228,61166,0,2,2,2,1,1,2,LOSS
164,3633649477W,54,35,111,379539,122419,193,69857,0,2,2,2,1,2,1,WIN
165,3633649477L,35,54,87,336151,133318,186,64042,1,0,0,4,2,2,0,LOSS
166,3633649477W,44,33,121,302046,119849,101,62004,1,1,2,1,2,0,2,WIN
167,3633649477L,33,44,90,280404,109660,69,58561,0,1,2,3,2,1,0,LOSS
168,3633649477W,54,46,134,391250,160645,184,67741,0,1,2,2,1,0,3,WIN
169,3633649477L,46,54,107,328316,142361,88,63630,1,2,3,1,2,0,1,LOSS
170,3633649477W,38,24,114,208192,66699,225,50194,1,0,2,2,1,3,2,WIN
171,3633649477L,24,38,52,162710,83312,149,44884,0,0,3,1,1,0,3,LOSS
172,3633649477W,29,17,62,137871,44196,83,40492,1,1,3,1,1,0,2,WIN
173,3633649477L,17,29,27,103359,45853,53,34525,0,2,3,3,1,0,1,LOSS
0,3633735421W,38,18,90,138960,48643,80,41245,1,2,2,1,1,0,1,WIN
1,3633735421L,18,38,39,101071,61218,86,34904,0,1,3,2,0,1,2,LOSS
