,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?
111,NA1_4152417179,36,56,86,78812,137505,1215,52289,0,3,2,0,2,3,0
112,NA1_4152385492,68,51,162,158214,160435,1643,76723,1,3,1,1,0,2,1
113,NA1_4152385492,51,68,119,149262,168249,1075,71334,1,2,2,1,1,0,0
114,NA1_4152381074,57,54,96,131151,136378,1017,70791,0,2,1,3,0,1,1
115,NA1_4152381074,54,57,110,122388,135232,589,66464,1,0,5,2,1,0,0
116,NA1_4151296059,56,53,148,127787,138543,1445,71036,1,2,1,2,0,2,1
117,NA1_4151296059,52,56,103,130831,136612,1487,67012,3,3,1,2,1,0,0
118,NA1_4141369519,80,58,167,249832,172801,1338,98750,3,1,3,2,0,0,1
119,NA1_4141369519,58,80,104,163987,272296,909,92953,2,2,3,0,0,1,0
120,NA1_4141363627,65,62,121,165242,196518,1079,87802,3,1,3,0,1,1,1
121,NA1_4141363627,60,65,119,163039,171135,1187,82578,0,0,4,3,0,0,0
122,NA1_4139998389,58,39,115,128471,96051,881,68120,1,1,3,2,1,0,1
123,NA1_4139998389,39,58,85,92283,139139,1886,63087,0,0,2,3,2,1,0
124,NA1_4140032784,65,52,171,153383,132349,2050,68797,2,0,3,1,1,0,1
125,NA1_4140032784,52,66,110,123994,164702,805,65375,2,1,2,1,1,2,0
126,NA1_4139965605,48,41,111,132667,115099,1588,77754,1,1,2,1,2,1,1
127,NA1_4139965605,41,48,91,101765,137104,1114,72632,1,1,2,2,2,0,0
128,NA1_4139622146,53,53,90,115430,125688,1198,75364,2,1,1,1,1,1,1
129,NA1_4139622146,52,53,102,117922,121271,1188,76716,2,0,3,1,1,0,0
130,NA1_4139049884,41,48,93,121938,124086,1380,74480,2,2,1,1,2,1,1
131,NA1_4139049884,48,41,108,113217,132219,1216,70924,1,1,2,3,0,1,0
132,NA1_4139025256,59,43,120,110758,119086,890,66605,2,3,2,1,0,1,1
133,NA1_4139025256,43,59,90,109903,120282,1430,62200,3,1,2,1,1,0,0
134,NA1_4139011663,34,33,105,96055,83004,1485,55741,1,1,2,2,2,2,1
135,NA1_4139011663,32,34,77,76288,102568,1005,52158,0,3,1,1,1,2,0
136,NA1_4138957282,54,48,126,132705,139750,863,69900,2,2,2,2,0,2,1
137,NA1_4138957282,48,54,108,127515,145825,1445,67768,2,2,2,0,2,1,0
138,NA1_4138932866,50,51,117,141502,160602,871,70961,3,1,4,0,2,0,1
139,NA1_4138932866,51,50,121,149777,161156,1120,70233,2,4,2,0,1,1,0
140,NA1_4138868355,54,49,121,116951,134396,1194,73359,1,2,2,2,1,1,1
141,NA1_4138868355,49,54,112,123029,124453,1164,71316,2,1,2,1,1,1,0
142,NA1_4138782275,57,43,115,241351,156016,902,97530,2,1,3,3,0,0,1
143,NA1_4138782275,43,57,70,146733,251341,1188,92848,1,1,2,2,1,1,0
144,NA1_4136356846,35,26,106,93804,95435,1319,55534,0,2,0,2,2,2,1
145,NA1_4136356846,26,35,55,85941,101541,1302,49879,2,3,0,0,0,1,0
146,NA1_4136165299,42,36,125,82794,86617,1100,56207,1,2,2,1,1,2,1
147,NA1_4136165299,36,42,83,80097,84996,1839,50923,1,0,4,1,2,1,0
148,NA1_4136141711,49,54,103,136803,122977,1125,71268,2,3,2,0,0,1,1
149,NA1_4136141711,54,49,125,111602,145220,1080,66879,3,2,2,1,1,0,0
150,NA1_4135456843,35,29,91,91623,118051,1131,56177,0,2,2,1,1,2,1
151,NA1_4135456843,29,35,94,111152,98493,1775,52266,1,1,3,1,3,1,0
152,NA1_4135503271,50,25,119,83189,84479,1092,62369,2,2,3,1,1,1,1
153,NA1_4135503271,25,50,59,78868,90459,1055,54667,2,1,2,1,1,0,0
154,NA1_4134140614,54,44,111,137321,138050,1340,76448,2,2,2,2,1,0,1
155,NA1_4134140614,44,54,98,125856,146705,1360,69567,0,3,2,0,2,1,0
156,NA1_4134058237,54,38,142,105899,93163,1345,62887,1,0,4,2,2,0,1
157,NA1_4134058237,38,54,77,88361,111058,792,55847,0,0,3,2,2,0,0
158,NA1_4132956286,51,36,124,116902,99227,1393,63264,1,1,3,1,1,0,1
159,NA1_4132956286,36,51,94,92339,126592,1719,58563,3,2,1,2,1,0,0
160,NA1_4132961084,78,60,204,202667,214811,1779,90036,2,2,3,1,1,0,1
161,NA1_4132961084,60,78,113,201970,224777,1271,84564,3,3,2,0,1,1,0
162,NA1_4132784178,51,46,113,120505,104004,1137,69203,0,2,1,3,1,1,1
163,NA1_4132784178,46,51,89,94821,129151,1032,69205,0,2,1,2,1,1,0
164,NA1_4131793422,73,72,147,195284,201661,1305,89843,2,1,4,0,1,0,1
165,NA1_4131793422,72,74,142,188162,204088,1459,88841,3,1,3,2,0,0,0
166,NA1_4131769679,38,15,107,68744,55796,1048,49995,0,1,3,1,2,1,1
167,NA1_4131769679,15,38,43,52215,74064,1016,41062,2,3,0,1,1,1,0
168,NA1_4131738710,39,33,101,105185,119801,845,64481,1,4,0,1,0,1,1
169,NA1_4131738710,33,39,87,111981,109057,1146,58927,1,2,2,0,0,2,0
170,NA1_4131374092,48,29,132,104735,78293,970,60275,0,2,2,1,2,0,1
171,NA1_4131374092,29,48,67,71200,113474,873,52605,1,2,1,1,0,2,0
172,NA1_4130294179,45,34,119,91270,112981,1179,65244,0,2,2,2,1,2,1
173,NA1_4130294179,34,45,70,96920,96552,1545,60415,3,0,4,0,0,1,0
174,NA1_4128357038,25,13,52,37490,26654,893,36281,3,0,3,1,0,0,1
175,NA1_4128357038,13,25,23,22094,39570,1208,32361,1,0,2,2,3,1,0
176,NA1_4128362261,39,28,80,71029,87233,1284,49737,2,4,2,1,0,1,1
177,NA1_4128362261,27,39,69,79720,77209,1422,43043,3,2,1,2,0,1,0
178,NA1_4127917149,60,58,124,150324,176870,963,75624,1,1,2,1,2,1,1
179,NA1_4127917149,58,60,123,160466,156539,745,73257,1,1,4,1,1,1,0
180,NA1_4127943080,37,25,121,81000,72011,1537,55957,0,2,2,2,2,0,1
181,NA1_4127943080,25,38,64,60108,84807,1390,49589,1,2,1,2,2,1,0
182,NA1_4126814552,38,30,83,72248,83275,1018,55919,0,0,2,3,1,1,1
183,NA1_4126814552,30,38,56,76817,75085,1271,51423,0,0,3,2,2,1,0
184,NA1_4126769289,46,41,104,122743,121223,1646,71707,1,1,2,2,3,0,1
185,NA1_4126769289,41,46,97,115449,131622,950,68275,1,2,3,0,1,2,0
186,NA1_4125872733,57,41,135,131735,121465,1242,75049,3,2,2,1,1,0,1
187,NA1_4125872733,40,57,101,108350,136798,1424,68946,1,2,2,1,2,1,0
188,NA1_4125859056,40,40,84,87943,106751,1247,59508,2,4,2,1,0,1,1
189,NA1_4125859056,40,40,102,97538,92866,1604,58176,0,2,2,1,3,2,0
190,NA1_4125845967,78,50,168,190098,167658,1965,100196,2,2,1,1,2,2,1
191,NA1_4125845967,50,78,109,150609,196168,1187,88421,3,3,1,1,0,2,0
192,NA1_4125843254,53,42,132,114354,129784,749,70709,1,1,3,2,1,1,1
193,NA1_4125843254,42,53,83,125320,128889,1694,66118,3,3,0,1,0,2,0
